weather_date,wind_direction,wind_speed,global_radiation,temperature,humity,atmospheric_pressure,precipitation
01/01/13 00:00,0.8,0.9,0,4.4,47,851.1,0
01/01/13 00:15,309.7,0,0,4.4,47,851.3,0
01/01/13 00:30,26.7,2,0,4.6,48,851.5,0
01/01/13 00:45,64.9,0.2,0,4.5,48,850.5,0
01/01/13 01:00,262.5,0,0,3.8,50,850.5,0
01/01/13 01:15,117,5.5,0,2.6,52,851,0
01/01/13 01:30,200.3,0,0,2.1,54,851.2,0
01/01/13 01:45,48.1,1.3,0,2.1,55,851,0
01/01/13 02:00,143.3,0,0,1.8,56,851.6,0
01/01/13 02:15,2.7,0,0,2,56,851.4,0
01/01/13 02:30,11.4,0.1,0,2.4,56,851.5,0
01/01/13 02:45,19.2,1.3,0,2.4,58,851.4,0
01/01/13 03:00,132.5,3.2,0,2,60,851.4,0
01/01/13 03:15,2.5,0.5,0,2.1,61,851.2,0
01/01/13 03:30,202.4,0,0,1.7,62,851.6,0
01/01/13 03:45,70.4,0.8,0,1.1,62,851.1,0
01/01/13 04:00,207.2,0,0,1.4,62,851.2,0
01/01/13 04:15,152.3,0,0.5,1.1,63,851.2,0
01/01/13 04:30,0.2,0,0,0.1,64,851.1,0
01/01/13 04:45,117,0.7,0,-0.5,67,851.4,0
01/01/13 05:00,48.1,0,0,-0.5,67,851.3,0
01/01/13 05:15,67.9,0,0,-0.6,67,851.3,0
01/01/13 05:30,328.3,0,0,-0.6,68,851.8,0
01/01/13 05:45,288.9,0,0,-0.3,66,852.1,0
01/01/13 06:00,0,0,0,-0.3,67,852.6,0
01/01/13 06:15,0.1,0,0,-0.3,65,852.4,0
01/01/13 06:30,154.5,0,0,-0.4,66,852.5,0
01/01/13 06:45,10.1,0,2.5,-0.4,66,852.9,0
01/01/13 07:00,0,0,7.7,-0.9,66,853,0
01/01/13 07:15,307.5,0,33,-1.2,68,853.4,0
01/01/13 07:30,156.1,0,35.3,-0.9,66,853.3,0
01/01/13 07:45,1.2,0,79.6,0,64,853.6,0
01/01/13 08:00,0,0,94.2,1.3,58,853.3,0
01/01/13 08:15,0,0,97.2,1.2,59,853.6,0
01/01/13 08:30,0,0,88.7,1.7,58,854.1,0
01/01/13 08:45,3.7,0,147.1,2.3,56,853.8,0
01/01/13 09:00,0,0,170.3,2.7,55,853.8,0
01/01/13 09:15,6.3,0,161.6,3,54,853.9,0
01/01/13 09:30,279.3,0.2,237.9,2.9,55,853.8,0
01/01/13 09:45,71.5,0,219.1,3.6,53,854,0
01/01/13 10:00,6.3,0,211.1,4.1,51,853.7,0
01/01/13 10:15,63.4,0,279.5,4,52,853.6,0
01/01/13 10:30,10.1,0,278.1,4.6,50,853.4,0
01/01/13 10:45,206.9,0,273.3,4.8,50,853.5,0
01/01/13 11:00,197.8,0,305.2,5.3,48,853.1,0
01/01/13 11:15,189.9,0.1,304.6,5.4,48,852.9,0
01/01/13 11:30,34.3,0.6,268.4,6,46,852.3,0
01/01/13 11:45,3.7,1.1,218.3,6.1,45,852,0
01/01/13 12:00,24.9,0.9,227.8,6.1,45,851.9,0
01/01/13 12:15,163,0.3,251.7,6.5,45,851.5,0
01/01/13 12:30,55.9,2,258.5,6.7,43,851,0
01/01/13 12:45,22.1,1.3,230.2,6.7,44,850.9,0
01/01/13 13:00,23.6,0.6,245.7,6.8,43,851.1,0
01/01/13 13:15,11.8,1.1,226.6,6.3,44,851,0
01/01/13 13:30,0,0.4,212.3,6.5,43,850.8,0
01/01/13 13:45,0,0.6,185.7,6.7,43,850.9,0
01/01/13 14:00,1.8,0.5,173.5,6.6,43,850.4,0
01/01/13 14:15,7.2,0.7,179.5,7.3,41,850.3,0
01/01/13 14:30,9.6,2,164.2,7.3,41,850.6,0
01/01/13 14:45,4.8,0,136.1,7.5,40,850.5,0
01/01/13 15:00,0.2,0.7,110,7.3,41,850.6,0
01/01/13 15:15,119.7,0.5,87.5,6.8,42,850.5,0
01/01/13 15:30,0,3,69.5,6.7,42,850.2,0
01/01/13 15:45,0,0.6,53.4,6.7,42,850.4,0
01/01/13 16:00,0,0.7,37.4,6.5,42,850.7,0
01/01/13 16:15,0,1,26.8,6.2,43,850.7,0
01/01/13 16:30,0,3,17.1,6.1,44,850.9,0
01/01/13 16:45,10.2,1.7,7.3,6,44,850.9,0
01/01/13 17:00,0.4,4.1,1,5.8,44,851,0
01/01/13 17:15,0,3.9,0,5.6,44,850.8,0
01/01/13 17:30,135.9,0,0,5.6,44,850.9,0
01/01/13 17:45,71.8,0,0,5.5,45,850.4,0
01/01/13 18:00,0,0,0,5.4,45,850.6,0
01/01/13 18:15,187.9,0,0,5.3,45,850.7,0
01/01/13 18:30,217.6,0,0,5.3,45,850.8,0
01/01/13 18:45,146.3,0,0,5.1,46,850.9,0
01/01/13 19:00,217,0,0,5.1,46,851.1,0
01/01/13 19:15,48,0,0,5.1,46,850.9,0
01/01/13 19:30,9,0,0,5.1,46,850.6,0
01/01/13 19:45,324.3,0,0,5.1,46,850.7,0
01/01/13 20:00,271.8,0,0,4.9,46,850.7,0
01/01/13 20:15,59.6,0,0,4.9,47,851,0
01/01/13 20:30,96.2,0,0,4.6,46,850.9,0
01/01/13 20:45,120.8,0,0,4.6,47,850.7,0
01/01/13 21:00,84.3,0,0,4.5,48,851.4,0
01/01/13 21:15,261.7,0,0,4.6,47,851.7,0
01/01/13 21:30,89.2,0,0,4.7,47,851.5,0
01/01/13 21:45,164.5,0,0,4.7,47,851.6,0
01/01/13 22:00,217.1,0,0,4.5,47,851.5,0
01/01/13 22:15,67.9,0,0,4.3,48,851.8,0
01/01/13 22:30,1,0,0,4.4,48,851.6,0
01/01/13 22:45,320,0,0,4.3,48,851.7,0
01/01/13 23:00,95.8,0,0,4.2,48,851.7,0
01/01/13 23:15,116.7,0,0,3.9,49,851.8,0
01/01/13 23:30,79.7,0,0,3.7,49,851.5,0
01/01/13 23:45,1.9,0,0,3.6,50,851.4,0
02/01/13 00:00,265.1,0,0,3.6,49,851.8,0
02/01/13 00:15,327,0,0,3.2,51,850.9,0
02/01/13 00:30,346.8,0,0,2.9,51,850.8,0
02/01/13 00:45,44.5,0,0,2.6,52,850.9,0
02/01/13 01:00,142.9,0,0,2.2,53,850.3,0
02/01/13 01:15,0,0,0,2.1,54,850.3,0
02/01/13 01:30,0,0,0,2,54,850.1,0
02/01/13 01:45,0,0,0,2.1,54,850.2,0
02/01/13 02:00,219.1,0,0,2.2,54,849.9,0
02/01/13 02:15,142.9,0,0,2.2,54,850.6,0
02/01/13 02:30,0,0,0,1.9,54,850.7,0
02/01/13 02:45,0,0,0,1.6,55,850.8,0
02/01/13 03:00,21.4,0,0,1.7,56,850.3,0
02/01/13 03:15,39.9,0,0,1.5,56,850.4,0
02/01/13 03:30,94,0,0,1.5,56,850.1,0
02/01/13 03:45,11.8,0,0,1.7,56,850.4,0
02/01/13 04:00,0.7,0,0,1.6,56,850.9,0
02/01/13 04:15,0,0,0,1,57,850.5,0
02/01/13 04:30,58.8,0,0,0.9,58,850.4,0
02/01/13 04:45,20.4,0,0,0.6,58,850.4,0
02/01/13 05:00,0,0,0,0.3,59,850.5,0
02/01/13 05:15,2.4,0,0,0.4,59,850.6,0
02/01/13 05:30,0,0,0,0.4,59,851.1,0
02/01/13 05:45,244.3,0,0,0,60,851.3,0
02/01/13 06:00,202.2,0,0,-0.2,61,851.2,0
02/01/13 06:15,254.6,0,0,-0.4,62,851.3,0
02/01/13 06:30,24,0,0,-0.3,61,851.6,0
02/01/13 06:45,0,0,3.1,-0.6,61,851.8,0
02/01/13 07:00,13.3,0,9.7,-0.5,62,851.6,0
02/01/13 07:15,19.2,0,26.9,0,61,851.7,0
02/01/13 07:30,28.5,0,55.5,0.6,59,852.2,0
02/01/13 07:45,15.2,0,84.9,1.7,53,852.5,0
02/01/13 08:00,47.9,0,109.7,1.9,52,852.4,0
02/01/13 08:15,307,0,136.5,1.1,56,852.4,0
02/01/13 08:30,24,0,164.5,1.9,53,852.8,0
02/01/13 08:45,166.4,0,193.6,2.1,53,852.5,0
02/01/13 09:00,0,0,222.4,3,51,852.5,0
02/01/13 09:15,0,0.1,247,3.4,50,852.4,0
02/01/13 09:30,301.4,0.3,271.7,4,48,852.3,0
02/01/13 09:45,185.4,0,295.4,4.6,47,852.2,0
02/01/13 10:00,353.4,0,317,5.5,44,852.2,0
02/01/13 10:15,184.6,0,334.7,6.5,41,852,0
02/01/13 10:30,41.5,0,349.7,7.6,39,852,0
02/01/13 10:45,103.5,0,360.6,8,37,851.7,0
02/01/13 11:00,41.6,0.1,370.4,7.7,38,851.6,0
02/01/13 11:15,88.5,0.2,377.3,8.7,36,851.5,0
02/01/13 11:30,20.1,2,384.1,9.4,34,850.7,0
02/01/13 11:45,14.3,0.4,387.2,9.6,34,850.4,0
02/01/13 12:00,101.2,0.6,389.7,10.4,32,850.3,0
02/01/13 12:15,129.8,4.3,388.4,9.9,34,849.5,0
02/01/13 12:30,132.9,3.9,384.1,10,33,849.2,0
02/01/13 12:45,24.5,3.8,376.8,10.3,33,848.9,0
02/01/13 13:00,9.1,3,366.5,10.7,32,848.7,0
02/01/13 13:15,17.4,5.8,351.7,11.3,31,848.2,0
02/01/13 13:30,22.5,3,338.5,11.4,31,848.1,0
02/01/13 13:45,41.1,6.8,321.4,11.6,30,847.9,0
02/01/13 14:00,7.1,1.3,304,11.8,30,848.1,0
02/01/13 14:15,27.7,1.9,282,11.7,29,848,0
02/01/13 14:30,301.3,2.4,259,11.8,29,847.6,0
02/01/13 14:45,262.1,3.1,232.1,11.7,29,847.9,0
02/01/13 15:00,178.6,1.8,203.7,11.6,29,847.8,0
02/01/13 15:15,85.9,0.9,174.2,11.6,29,848,0
02/01/13 15:30,195.6,2.3,142.4,11.6,29,848,0
02/01/13 15:45,163,2.7,110.8,11.4,30,848,0
02/01/13 16:00,92,4.7,80.7,11.3,29,848.3,0
02/01/13 16:15,138.9,7.6,54.4,10.9,30,848.2,0
02/01/13 16:30,266.6,6.4,33.5,10.8,30,848.2,0
02/01/13 16:45,273.3,8.7,13.5,10.5,31,848.1,0
02/01/13 17:00,126.7,5.1,4.3,10.2,32,848.5,0
02/01/13 17:15,234.7,5.6,0.2,10,32,848.5,0
02/01/13 17:30,216.3,3.5,0,10,32,849,0
02/01/13 17:45,262.7,0,0,9.8,33,849,0
02/01/13 18:00,255.6,0,0,9.6,33,849.3,0
02/01/13 18:15,191.4,0,0,9.6,33,849.4,0
02/01/13 18:30,190.6,0,0,9.5,33,849.8,0
02/01/13 18:45,215.5,0,0,9.3,34,850.1,0
02/01/13 19:00,154.5,0,0,9.1,34,850.1,0
02/01/13 19:15,322.9,0,0,8.7,35,850.1,0
02/01/13 19:30,293.8,0,0,8.5,35,849.9,0
02/01/13 19:45,109.3,0,0,8.4,36,850,0
02/01/13 20:00,88.9,0,0,8.1,36,850.1,0
02/01/13 20:15,97.2,0,0,7.8,37,850.1,0
02/01/13 20:30,201.1,0,0,7.8,37,850.1,0
02/01/13 20:45,331.6,0,0,7.6,37,850.2,0
02/01/13 21:00,64,0,0,7,38,850.2,0
02/01/13 21:15,233.7,0,0,6.1,40,850.4,0
02/01/13 21:30,35.5,0,0.3,6.2,40,850.6,0
